Tanggal;Nama_Toko;Nama_Barang;Qty;Harga_Satuan;Total_Harga
03/01/2025;TOKO DUKUT;Kangguru Butter Coconut 100 gr;36;4200;151200
03/01/2025;TOKO DUKUT;Kangguru Bon Bon 200g / Biskuit Rasa Cokelat 200gr;52;9500;494000
03/01/2025;TOKO DUKUT;AIM Mini Assorted Biscuits 150g;37;8400;310800
03/01/2025;TOKO DUKUT;AIM Aneka Cream Crackers 300g;44;12500;550000
03/01/2025;NASI AYAM HAI NAN;AIM Mini Assorted Biscuits 150g;46;8400;386400
03/01/2025;NASI AYAM HAI NAN;Kangguru Durian 100 gr / Biskuit Kangguru Rasa Durian 100g;50;4200;210000
03/01/2025;NASI AYAM HAI NAN;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;39;9800;382200
03/01/2025;NASI AYAM HAI NAN;Kangguru Bunga Gem - 5 Pack;16;26000;416000
03/01/2025;NASI AYAM HAI NAN;AIM Good Morning Wafer 300g;27;39400;1063800
03/01/2025;NUR QOMARIYAH;Kangguru Durian 100 gr / Biskuit Kangguru Rasa Durian 100g;53;4200;222600
03/01/2025;NUR QOMARIYAH;Bogabis Square Puff 275 gr;26;11600;301600
03/01/2025;DAMAI, TOKO;AIM Milk Cookies 250g / Biskuit AIM Rasa Susu 250g;34;12200;414800
03/01/2025;DAMAI, TOKO;AIM Crispy Crackers 150g / Biskuit Cirspy Cracker 150 gr;53;9500;503500
03/01/2025;DAMAI, TOKO;TOASTY CHEESE 80 GR / AIM Biskuit Rasa Keju 80g;30;5300;159000
03/01/2025;DAMAI, TOKO;AIM Aneka Square Puff 300g;35;12500;437500
04/01/2025;BOGAJAYA MEGAH ABADI;TOASTY CHEESE 80 GR / AIM Biskuit Rasa Keju 80g;30;5300;159000
04/01/2025;BOGAJAYA MEGAH ABADI;Bogabis Chocolate Cream 180 gr / Biskuit Rasa Coklat 180g;46;8800;404800
04/01/2025;YENI, BU;AIM Roasted Corn 180g / Biskuit AIM Corn 180g;33;13000;429000
04/01/2025;YENI, BU;Kangguru Rose Cream 100 gr;48;4400;211200
04/01/2025;TOKO BU UMMI;Bogabis Square Puff 275 gr;42;11600;487200
04/01/2025;TOKO BU UMMI;AIM Mini Assorted Biscuits 150g;28;8400;235200
04/01/2025;TOKO BU UMMI;Bundling Beli 2 Gratis 1 Bogabis Square Puff;23;19000;437000
04/01/2025;TOKO BU UMMI;AIM Aneka Cream Crackers 300g;30;12500;375000
04/01/2025;TOKO BU UMMI;Kangguru Assorted Biscuits 1000g;13;100200;1302600
04/01/2025;TOKO 27;Bogabis Durian Cream 180gr / Biskuit Rasa Durian 180 g;37;8800;325600
04/01/2025;TOKO 27;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;59;9800;578200
04/01/2025;TOKO 27;Bogabis Square Puff 275 gr;43;11600;498800
04/01/2025;TOKO 27;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;5;90200;451000
04/01/2025;TOKO 27;Bogabis Assorted Tin 350gr;5;52100;260500
04/01/2025;TOKO 27;AIM Roasted Corn 180g / Biskuit AIM Corn 180g;47;13000;611000
04/01/2025;BU YENY;Kangguru Assorted Biscuits 1000g;12;100200;1202400
04/01/2025;BU YENY;Kangguru Butter Coconut 100 gr;52;4200;218400
04/01/2025;BU YENY;Kangguru Bunga Gem - 5 Pack;29;26000;754000
04/01/2025;BU YENY;Kangguru Kacang Crackers 150 gr / Biskuit Krim Kacang 150g;38;9000;342000
04/01/2025;BU YENY;AIM Mini Assorted Biscuits 150g;58;8400;487200
04/01/2025;BCA KCU BUKIT DARMO BOULEVARD;Bogabis Square Puff 275 gr;36;11600;417600
04/01/2025;BCA KCU BUKIT DARMO BOULEVARD;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;12;90200;1082400
04/01/2025;BCA KCU BUKIT DARMO BOULEVARD;AIM Vegetable Crackers 180 Gr;29;13700;397300
04/01/2025;BCA KCU BUKIT DARMO BOULEVARD;AIM Aneka Cream Crackers 300g;26;12500;325000
04/01/2025;BCA KCU BUKIT DARMO BOULEVARD;Bogabis Durian Cream 180gr / Biskuit Rasa Durian 180 g;29;8800;255200
04/01/2025;FLASH FITNESS;Kangguru Rose Cream 100 gr;37;4400;162800
04/01/2025;FLASH FITNESS;Kangguru Bunga Gem - 5 Pack;23;26000;598000
04/01/2025;FLASH FITNESS;Bogabis Peanut Cream 180 gr / Biskuit Bogabis dengan Krim Kacang 180g;23;8800;202400
04/01/2025;FLASH FITNESS;AIM Rasa Durian 350g / Biskuit Rasa Durian 350 gr;20;39400;788000
04/01/2025;GAN ENGAN CIPPO;AIM Vegetable Crackers 180 Gr;43;13700;589100
04/01/2025;GAN ENGAN CIPPO;AIM Marie Susu 100g / Biskuit Rasa Susu Marie 100 gr;36;5300;190800
04/01/2025;GAN ENGAN CIPPO;Kangguru Bunga Gem 90g / Biskuit Bunga Gem 90g;36;5200;187200
04/01/2025;GAN ENGAN CIPPO;Masterbis Gabin Master 120g;59;6400;377600
04/01/2025;GAN ENGAN CIPPO;Kangguru Bunga Gem - 5 Pack;12;26000;312000
04/01/2025;GAN ENGAN CIPPO;Bogabis Square Puff 275 gr;33;11600;382800
04/01/2025;IBU DENOK;AIM Gabin Cokelat 120g / Biskuit AIM Gabin Coklat 120g;27;6400;172800
04/01/2025;IBU DENOK;Bogabis Crispy Lemon 200gr;20;20000;400000
04/01/2025;IBU DENOK;AIM Biskuit Kelapa Muda 250g;30;12200;366000
04/01/2025;IBU DENOK;AIM Mini Assorted Biscuits 150g;24;8400;201600
04/01/2025;IBU DENOK;TOASTY CHEESE 80 GR / AIM Biskuit Rasa Keju 80g;45;5300;238500
04/01/2025;IBU DENOK;B&B Biskuit Kacang 120 gr / Biskuit Krim Kacang 120g;36;7300;262800
04/01/2025;CV. TUNAS INTI PERSADA;Anekabis Gabin Oat 350gr / Gabin dengan Oat 350g;25;33400;835000
04/01/2025;CV. TUNAS INTI PERSADA;AIM Gabin Cokelat 120g / Biskuit AIM Gabin Coklat 120g;45;6400;288000
04/01/2025;CV. TUNAS INTI PERSADA;Kangguru Durian 100 gr / Biskuit Kangguru Rasa Durian 100g;48;4200;201600
04/01/2025;DIMAS JAYA;TOASTY CHEESE 80 GR / AIM Biskuit Rasa Keju 80g;36;5300;190800
04/01/2025;DIMAS JAYA;AIM Roasted Corn 180g / Biskuit AIM Corn 180g;23;13000;299000
04/01/2025;KURIA JAYA;B&B Gabin Traditional 210 gr / Biskuit Gabin 210g;27;10100;272700
04/01/2025;KURIA JAYA;Bundling Beli 2 Gratis 1 Bogabis Square Puff;25;19000;475000
04/01/2025;MILOVA SNACK STATION;Bogabis Durian Cream 180gr / Biskuit Rasa Durian 180 g;31;8800;272800
04/01/2025;MILOVA SNACK STATION;Kangguru Kacang Crackers 150 gr / Biskuit Krim Kacang 150g;58;9000;522000
04/01/2025;MILOVA SNACK STATION;AIM Milk Cookies 250g / Biskuit AIM Rasa Susu 250g;54;12200;658800
04/01/2025;SAUDARA, TOKO;AIM Gabin Cokelat 120g / Biskuit AIM Gabin Coklat 120g;50;6400;320000
04/01/2025;SAUDARA, TOKO;Bogabis Gabin Army Kelapa 125g;38;6800;258400
04/01/2025;SAUDARA, TOKO;Bogabis Crispy Lemon 200gr;24;20000;480000
04/01/2025;TOKO ADIANTO;Bundling Beli 2 Gratis 1 Bogabis Square Puff;29;19000;551000
04/01/2025;TOKO ADIANTO;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;12;90200;1082400
04/01/2025;TOKO ADIANTO;TOASTY CHEESE 80 GR / AIM Biskuit Rasa Keju 80g;36;5300;190800
04/01/2025;PT. CAHAYA RETAIL PAPUA;AIM Roasted Chicken 180g / Snack Crackers 180 gr;53;13000;689000
04/01/2025;PT. CAHAYA RETAIL PAPUA;AIM Rasa Durian 350g / Biskuit Rasa Durian 350 gr;29;39400;1142600
04/01/2025;PT. CAHAYA RETAIL PAPUA;AIM Good Morning Wafer 300g;13;39400;512200
04/01/2025;PT. CAHAYA RETAIL PAPUA;Kangguru Rose Cream 100 gr;24;4400;105600
04/01/2025;PT. CAHAYA RETAIL PAPUA;Bogabis Square Puff 275 gr;23;11600;266800
04/01/2025;PT. CAHAYA RETAIL PAPUA;Kangguru Assorted Biscuits 1000g;14;100200;1402800
04/01/2025;YENY;Kangguru Rose Chocolate 100 gr;53;4400;233200
04/01/2025;YENY;Bogabis Peanut Cream 180 gr / Biskuit Bogabis dengan Krim Kacang 180g;45;8800;396000
04/01/2025;YENY;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;32;9800;313600
04/01/2025;KOP. PRIMKOPAL JUANDA;Anekabis Gabin Oat 350gr / Gabin dengan Oat 350g;31;33400;1035400
04/01/2025;KOP. PRIMKOPAL JUANDA;Bogabis Peanut Cream 180 gr / Biskuit Bogabis dengan Krim Kacang 180g;52;8800;457600
04/01/2025;PT. REMAJA KUTEIJAYA SEJAHTERA;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;16;90200;1443200
04/01/2025;PT. REMAJA KUTEIJAYA SEJAHTERA;AIM Marie Susu 100g / Biskuit Rasa Susu Marie 100 gr;48;5300;254400
04/01/2025;TAB HOTEL;Anekabis Gabin Super 350g;21;33400;701400
04/01/2025;TAB HOTEL;Kangguru Bon Bon 200g / Biskuit Rasa Cokelat 200gr;39;9500;370500
04/01/2025;KUNING;B&B Gabin Traditional 210 gr / Biskuit Gabin 210g;28;10100;282800
04/01/2025;KUNING;AIM Roasted Corn 180g / Biskuit AIM Corn 180g;57;13000;741000
04/01/2025;KUNING;Kangguru Butter Coconut 100 gr;58;4200;243600
04/01/2025;SNACK 27;B&B Gabin Traditional 210 gr / Biskuit Gabin 210g;30;10100;303000
04/01/2025;SNACK 27;Kangguru Durian Biscuits - 10 Pack;18;16000;288000
04/01/2025;SNACK 27;B&B Biskuit Kacang 120 gr / Biskuit Krim Kacang 120g;43;7300;313900
04/01/2025;WIN SNACK;AIM Aneka Cream Crackers 300g;31;12500;387500
04/01/2025;WIN SNACK;Kangguru Assorted Biscuits 1000g;5;100200;501000
04/01/2025;WIN SNACK;Bogabis Gabin Army Butter 125g;48;6800;326400
04/01/2025;WIN SNACK;AIM Rasa Coconut 350g / Biskuit Rasa Kelapa 350 g;14;39400;551600
